district,y_x,score,,
1,6283_13988,0.27476704,,
1,6283_13989,0.18193239,,
1,6283_13990,0.17954415,,
1,6284_13976,0.20929565,,
1,6284_13977,0.16040692,,
1,6284_13978,0.1634829,,
1,6284_13979,0.21678871,,
1,6284_13980,0.14839205,,
1,6284_13981,0.19321954,,
1,6284_13982,0.1708768,,
1,6284_13983,0.14215703,,
1,6284_13984,0.22805956,,
1,6284_13985,0.19570738,,
1,6284_13986,0.21709499,,
1,6284_13987,0.2015377,,
1,6284_13988,0.1690338,,
1,6284_13989,0.10442203,,
1,6284_13990,0.12904467,,
1,6284_13991,0.17197636,,
1,6285_13976,0.20974317,,
1,6285_13977,0.27796438,,
1,6285_13978,0.22373825,,
1,6285_13979,0.2394252,,
1,6285_13980,0.15509506,,
1,6285_13981,0.102468655,,
1,6285_13982,0.15252079,,
1,6285_13983,0.115183905,,
1,6285_13984,0.18254858,,
1,6285_13985,0.2188434,,
1,6285_13986,0.2065763,,
1,6285_13987,0.24046156,,
1,6285_13988,0.14573611,,
1,6285_13989,0.12689172,,
1,6285_13990,0.109498255,,
1,6285_13991,0.2251329,,
1,6285_13992,0.19010529,,
1,6285_13993,0.11892381,,
1,6286_13975,0.13416232,,
1,6286_13976,0.13669743,,
1,6286_13977,0.19153763,,
1,6286_13978,0.1773257,,
1,6286_13979,0.23231246,,
1,6286_13980,0.13447239,,
1,6286_13981,0.1351523,,
1,6286_13982,0.13013482,,
1,6286_13983,0.099097796,,
1,6286_13984,0.18391472,,
1,6286_13985,0.18446805,,
1,6286_13986,0.17943753,,
1,6286_13987,0.22860686,,
1,6286_13988,0.1893383,,
1,6286_13989,0.1193785,,
1,6286_13990,0.09990049,,
1,6287_13974,0.113878086,,
1,6287_13975,0.14945187,,
1,6287_13976,0.19739231,,
1,6287_13977,0.20199129,,
1,6287_13978,0.14944859,,
1,6287_13979,0.20069928,,
1,6287_13980,0.16157879,,
1,6287_13981,0.15092604,,
1,6287_13982,0.15700877,,
1,6287_13983,0.12464483,,
1,6287_13984,0.14352854,,
1,6287_13985,0.13202268,,
1,6287_13986,0.24358074,,
1,6287_13987,0.18422422,,
1,6287_13988,0.13288064,,
1,6287_13989,0.11842188,,
1,6288_13974,0.14149837,,
1,6288_13975,0.1634773,,
1,6288_13976,0.12553567,,
1,6288_13977,0.1405843,,
1,6288_13978,0.1550396,,
1,6288_13979,0.16824298,,
1,6288_13980,0.25273585,,
1,6288_13981,0.21410882,,
1,6288_13982,0.17287473,,
1,6288_13983,0.14381166,,
1,6288_13984,0.17518175,,
1,6288_13985,0.1712764,,
1,6288_13986,0.19433975,,
1,6289_13975,0.12264179,,
1,6289_13976,0.16682842,,
1,6289_13977,0.12950136,,
1,6289_13978,0.15365963,,
1,6289_13979,0.115217455,,
1,6289_13980,0.16117154,,
1,6289_13981,0.12853807,,
1,6289_13982,0.16206582,,
1,6289_13983,0.1880507,,
1,6289_13984,0.16411063,,
1,6289_13985,0.24094823,,
1,6290_13977,0.15431502,,
1,6290_13984,0.22337851,,
1,6290_13985,0.17806658,,
2,6287_13990,0.108290724,,
2,6287_13991,0.19908506,,
2,6287_13992,0.1182318,,
2,6288_13987,0.20096545,,
2,6288_13988,0.12891047,,
2,6288_13989,0.120572895,,
2,6288_13990,0.13029791,,
2,6288_13991,0.18438233,,
2,6288_13992,0.12524107,,
2,6289_13987,0.16744949,,
2,6289_13988,0.2048299,,
2,6289_13989,0.2123537,,
2,6289_13990,0.21211575,,
2,6289_13991,0.21838568,,
2,6290_13974,0.14715287,,
2,6290_13975,0.11500296,,
2,6290_13979,0.12623656,,
2,6290_13982,0.19476932,,
2,6290_13983,0.17987925,,
2,6290_13986,0.17476803,,
2,6290_13987,0.15862678,,
2,6290_13988,0.10898899,,
2,6290_13989,0.12147151,,
2,6290_13990,0.29188746,,
2,6290_13991,0.16553122,,
2,6291_13974,0.1122569,,
2,6291_13975,0.20680845,,
2,6291_13976,0.16401646,,
2,6291_13977,0.1472356,,
2,6291_13978,0.12897389,,
2,6291_13979,0.13461524,,
2,6291_13980,0.16201654,,
2,6291_13981,0.20168117,,
2,6291_13982,0.21814398,,
2,6291_13983,0.20780426,,
2,6291_13984,0.2124932,,
2,6291_13985,0.24731995,,
2,6291_13986,0.18434396,,
2,6291_13987,0.24927527,,
2,6291_13988,0.18677936,,
2,6291_13989,0.08334909,,
2,6291_13990,0.17925295,,
2,6291_13991,0.22198793,,
2,6291_13992,0.1215452,,
2,6292_13974,0.12262036,,
2,6292_13975,0.13357155,,
2,6292_13976,0.21153897,,
2,6292_13977,0.12456188,,
2,6292_13978,0.257652,,
2,6292_13979,0.16719484,,
